block_id,block_name,description,items_to_remember,impact_and_logic
1,CLIENT IDENTITY MEMORY,Идентификация роли клиента и базовых параметров его компании.,"[""Кто клиент: founder, CEO, sales director, operator, team lead, agency owner, enterprise buyer"",""Размер компании"",""Ниша""]",Different roles = different sales psychology.
2,PSYCHOLOGICAL PROFILE MEMORY,Психологический портрет и стиль коммуникации собеседника для глубокой адаптации.,"[""Psychotype: доминантный, аналитический, эмоциональный, skeptical, cautious, aggressive, visionary"",""Communication style: короткий, детальный, быстрый, осторожный, рациональный, эмоциональный"",""Pressure sensitivity: low, medium, high"",""Trust speed: fast trust, slow trust""]",Позволяет AI адаптировать и кастомизировать коммуникацию.
3,EMOTIONAL MEMORY,Фиксация эмоциональных реакций и триггерных зон клиента.,"[""Какие эмоции вызывали: trust, resistance, curiosity, skepticism, excitement"",""Какие темы вызывают stress"",""Какие trigger points усиливают defensive behavior""]","Пример: Если клиент тревожный, AI не должен в каждом новом диалоге снова пушить urgency."
4,OBJECTION MEMORY,Учет истории обработки возражений ЛПР.,"[""Какие возражения уже были"",""Какие objections оказались сильными"",""Какие objections были сняты"",""Какие objections остались unresolved""]",Иначе AI будет повторяться и терять credibility.
5,TRUST MEMORY,"Анализ факторов, напрямую влияющих на уровень доверия.","[""Что повышало trust"",""Что снижало trust"",""Какие форматы работают лучше: ROI, strategy, emotional vision, operational logic, analytics""]",Позволяет выбирать наиболее эффективные инструменты убеждения.
6,BUYING STAGE MEMORY,Понимание текущего положения клиента на этапах принятия решения.,"[""Текущий этап: Stage 1 Awareness, Stage 2 Interest, Stage 3 Evaluation, Stage 4 Internal discussion, Stage 5 Decision readiness, Stage 6 Closing, Stage 7 Recovery""]",AI не должен каждый раз начинать диалог сначала.
7,CONVERSATION ENERGY MEMORY,Адаптация под энергетику и когнитивную выносливость клиента.,"[""Быстро ли клиент устает?"",""Любит короткие ответы?"",""Любит deep dives?"",""Раздражается от перегруза?"",""Любит structured communication?""]",Позволяет реализовывать dynamic pacing.
8,STATUS DYNAMICS MEMORY,Позиционирование системы в зависимости от статусных ожиданий ЛПР.,"[""Любит контроль?"",""Любит доминировать?"",""Хочет партнерства?"",""Любит экспертность?"",""Тестирует authority?""]",Полностью меняет модель positioning в диалоге.
9,DECISION PROCESS MEMORY,Память о внутренних механизмах принятия решений клиентом.,"[""Как клиент принимает решения: быстро, медленно, через цифры, через trust, через команду, через эмоции, через risk minimization""]",Определяет стратегию подведения к сделке.
10,INTERNAL POLITICS MEMORY,Карта скрытых ролей и расстановки сил внутри компании-клиента.,"[""Кто влияет на решение"",""Кто может блокировать сделку"",""Кто настроен skeptical inside company"",""Кто реальный decision maker""]",Очень важно для успешных enterprise-продаж.
11,IMPLEMENTATION FEAR MEMORY,"Карта барьеров, связанных со страхом изменений.","[""Чего клиент боится: сложности, интеграции, потери контроля, сопротивления команды, нестабильности, технических проблем""]",Позволяет снижать resistance proactively.
12,VALUE PERCEPTION MEMORY,Фокусировка на индивидуальных критериях ценности для клиента.,"[""Что клиент считает наиболее ценным: ROI, скорость, predictability, automation, scaling, premium client experience, control, stability""]","Позволяет точечно усиливать именно то, что важно для ЛПР."
13,LANGUAGE MEMORY,Использование лексического резонанса для продвинутой персонализации.,"[""Какие именно слова лучше работают на клиента (Пример: одному заходит 'масштабирование', другому 'контроль', третьему 'снижение хаоса')""]",Advanced personalization.
14,FAILED PATH MEMORY,Память об ошибочных действиях для исключения их повторения.,"[""Какие именно approaches и подходы не сработали в прошлых касаниях""]","Критически важно, чтобы не наступать на те же грабли повторно."
15,MOMENTUM MEMORY,Точки наивысшей вовлеченности для возврата к ним в диалоге.,"[""Где появлялся высокий интерес"",""Точки curiosity spikes"",""Точки emotional engagement"",""Buying signals""]",Позволяет вовремя возвращаться к этим триггерным состояниям.
16,RELATIONSHIP TRAJECTORY MEMORY,Память о долгосрочном векторе развития взаимоотношений.,"[""Динамика отношений (Пример: был skeptical -> потом стал open -> потом снова ушел в caution)""]",Позволяет видеть trajectory relationship. Продажа = динамика доверия.
17,TRUST EVOLUTION MEMORY,Мониторинг стабильности и хрупкости доверия.,"[""Как ведет себя trust: растет?, падает?, стабилен?, fragile?"",""Взаимосвязь событий (Пример: после ROI discussion — trust вырос, после technical overload — trust упал)""]",AI должен непрерывно учиться на этих причинно-следственных связях.
18,EMOTIONAL TRIGGER MEMORY,Контроль лексических и смысловых триггеров.,"[""Что именно вызывает: stress, irritation, excitement, curiosity, resistance""]","ПРИМЕР: Если слово 'автоматизация' вызывает skepticism, AI должен полностью избегать этого framing."
19,LANGUAGE RESONANCE MEMORY,Сверхточная persuasion-подстройка под речевой код.,"[""Какие конкретно phrasing лучше всего резонируют с мышлением ЛПР (кому-то 'масштабируемость', кому-то 'predictability', кому-то 'контроль процессов')""]",Ultra-personalized persuasion.
20,RESISTANCE PATTERN MEMORY,Прогнозирование модели сопротивления ЛПР.,"[""Как обычно клиент выражает сопротивление: через skepticism, через silence, через delay, через over-analysis, через endless questions, через topic switching""]",Позволяет предсказывать и упреждать resistance до его пика.
21,DECISION MOMENT MEMORY,Фиксация моментов максимальной близости к закрытию сделки.,"[""В какие моменты клиент был ближе всего к решению"",""Показывал strongest buying signals"",""Был emotionally ready""]",Позволяет уметь возвращать conversation к этим продуктивным states.
22,FAILURE MEMORY,Глубокий анализ причин потери сделок для самообучения системы.,"[""Почему терялись сделки (НЕ просто 'сделка потеряна', а конкретно: trust collapsed, overload, wrong pacing, wrong framing, pressure too early, uncertainty unresolved)""]",Foundation for self-improvement.
23,CONVERSATIONAL RHYTHM MEMORY,Синхронизация темпоритма общения.,"[""Какой rhythm комфортен клиенту: быстрый, медленный, короткие сообщения, deep explanations, asynchronous communication""]",Комфортный ритм сильно влияет на уровень trust.
24,AUTHORITY PERCEPTION MEMORY,Управление восприятием авторитета AI-эксперта.,"[""Что повышает perception of authority для конкретного человека (одному важны цифры, структура, логика; другому — calm confidence, strategic language, operational clarity)""]",Удерживает статус элитного консультанта.
25,LONG-TERM RELATIONSHIP MEMORY,Накопление долгосрочного контекста в enterprise-сегменте.,"[""Долгосрочная динамика: как менялось восприятие, как менялся trust, как менялся engagement, как менялись objections""]",Enterprise sales = relationship accumulation.
